complaint_id,citizen_id,dept_id,description,status,priority,created_at,updated_at,resolved_at
18,44,5,Subsidy not reflected in account despite application.,Open,High,2024-05-31 15:00:00,2024-06-01 15:00:00,
19,6,3,Water supply is contaminated and smells bad.,Under Review,Critical,2024-03-20 07:00:00,2024-03-26 07:00:00,
20,21,3,No power supply for the last 3 days in our locality.,Open,Normal,2024-08-15 19:00:00,2024-08-19 19:00:00,
21,7,2,No power supply for the last 3 days in our locality.,Open,Normal,2024-10-13 01:00:00,2024-10-21 01:00:00,
22,27,1,Electricity bill is too high compared to actual usage.,Open,High,2024-02-18 03:00:00,2024-02-27 03:00:00,
23,51,3,Subsidy not reflected in account despite application.,Open,Normal,2024-07-17 10:00:00,2024-07-25 10:00:00,
24,58,2,Water meter is damaged and showing wrong reading.,Resolved,Critical,2024-07-13 13:00:00,2024-07-15 13:00:00,2024-07-18 13:00:00
25,20,3,Meter reading officer gave incorrect reading.,Open,Normal,2024-08-10 16:00:00,2024-08-16 16:00:00,
26,20,4,No power supply for the last 3 days in our locality.,Under Review,Normal,2025-01-05 04:00:00,2025-01-12 04:00:00,
27,39,5,Garbage truck has not visited our area this week.,Under Review,Normal,2024-06-04 08:00:00,2024-06-10 08:00:00,
28,22,5,Subsidy not reflected in account despite application.,Rejected,Normal,2024-08-13 18:00:00,2024-08-19 18:00:00,2024-08-26 18:00:00
29,53,5,Water supply is contaminated and smells bad.,Under Review,High,2024-12-21 14:00:00,2024-12-28 14:00:00,
30,21,2,Subsidy not reflected in account despite application.,Escalated,Normal,2025-01-12 06:00:00,2025-01-22 06:00:00,
31,32,5,Garbage truck has not visited our area this week.,Under Review,Normal,2024-07-20 19:00:00,2024-07-21 19:00:00,
32,60,5,Garbage truck has not visited our area this week.,Resolved,High,2024-04-03 05:00:00,2024-04-11 05:00:00,2024-04-12 05:00:00
33,47,4,Garbage truck has not visited our area this week.,Under Review,Normal,2024-12-20 10:00:00,2024-12-26 10:00:00,
34,44,4,Water supply is contaminated and smells bad.,Resolved,Normal,2024-05-10 05:00:00,2024-05-12 05:00:00,2024-05-18 05:00:00
35,28,4,No power supply for the last 3 days in our locality.,Under Review,High,2024-09-03 02:00:00,2024-09-09 02:00:00,
36,35,5,Subsidy not reflected in account despite application.,Resolved,Normal,2024-12-26 01:00:00,2025-01-04 01:00:00,2025-01-10 01:00:00
37,59,1,No power supply for the last 3 days in our locality.,Resolved,Critical,2024-12-06 19:00:00,2024-12-08 19:00:00,2024-12-14 19:00:00
38,40,1,Water meter is damaged and showing wrong reading.,Escalated,Critical,2024-11-27 20:00:00,2024-12-02 20:00:00,
39,51,4,No power supply for the last 3 days in our locality.,Open,Normal,2024-04-24 00:00:00,2024-05-02 00:00:00,
40,36,5,Water meter is damaged and showing wrong reading.,Open,Normal,2024-07-19 22:00:00,2024-07-29 22:00:00,
41,38,5,Water supply is contaminated and smells bad.,Under Review,Low,2024-09-04 11:00:00,2024-09-08 11:00:00,
42,27,1,No power supply for the last 3 days in our locality.,Rejected,Critical,2024-03-13 19:00:00,2024-03-17 19:00:00,2024-03-20 19:00:00
43,30,2,Street light near our house is not working.,Under Review,Normal,2024-02-19 22:00:00,2024-02-26 22:00:00,
44,21,1,Gas pressure is very low and cooking is affected.,Open,Critical,2024-02-28 08:00:00,2024-03-04 08:00:00,
45,42,1,Water supply is contaminated and smells bad.,Escalated,Critical,2024-05-05 00:00:00,2024-05-07 00:00:00,
46,36,2,Drain in front of house is blocked causing overflow.,Resolved,Normal,2024-04-28 20:00:00,2024-05-08 20:00:00,2024-05-10 20:00:00
47,12,4,Subsidy not reflected in account despite application.,Open,High,2024-04-11 22:00:00,2024-04-20 22:00:00,
48,28,4,Electricity bill is too high compared to actual usage.,Resolved,Normal,2024-05-23 06:00:00,2024-05-24 06:00:00,2024-05-29 06:00:00
49,7,5,Water supply is contaminated and smells bad.,Under Review,Normal,2024-08-22 11:00:00,2024-08-26 11:00:00,
50,43,4,Street light near our house is not working.,Escalated,Normal,2024-11-01 20:00:00,2024-11-10 20:00:00,
51,26,5,No power supply for the last 3 days in our locality.,Under Review,Normal,2024-11-12 13:00:00,2024-11-22 13:00:00,
52,46,3,Water meter is damaged and showing wrong reading.,Resolved,Critical,2024-03-09 18:00:00,2024-03-10 18:00:00,2024-03-12 18:00:00
53,20,1,Water supply is contaminated and smells bad.,Under Review,Normal,2024-09-18 20:00:00,2024-09-24 20:00:00,
54,39,2,Water meter is damaged and showing wrong reading.,Under Review,Normal,2024-09-07 04:00:00,2024-09-15 04:00:00,
55,45,2,Street light near our house is not working.,Open,Normal,2024-03-12 13:00:00,2024-03-17 13:00:00,
56,54,4,Water meter is damaged and showing wrong reading.,Open,Normal,2024-01-05 23:00:00,2024-01-07 23:00:00,
57,13,4,Street light near our house is not working.,Resolved,Normal,2024-07-29 05:00:00,2024-08-05 05:00:00,2024-08-09 05:00:00
58,46,4,Meter reading officer gave incorrect reading.,Open,High,2024-01-16 15:00:00,2024-01-20 15:00:00,
59,3,3,Garbage truck has not visited our area this week.,Resolved,Normal,2025-02-03 22:00:00,2025-02-12 22:00:00,2025-02-18 22:00:00
60,50,4,Street light near our house is not working.,Resolved,High,2024-02-28 16:00:00,2024-03-07 16:00:00,2024-03-14 16:00:00
61,24,5,Electricity bill is too high compared to actual usage.,Resolved,Normal,2024-10-06 14:00:00,2024-10-12 14:00:00,2024-10-13 14:00:00
62,48,2,Gas pressure is very low and cooking is affected.,Rejected,Low,2024-08-18 16:00:00,2024-08-23 16:00:00,2024-08-30 16:00:00
63,53,1,Meter reading officer gave incorrect reading.,Rejected,Low,2025-02-01 15:00:00,2025-02-04 15:00:00,2025-02-11 15:00:00
64,48,5,Drain in front of house is blocked causing overflow.,Rejected,High,2024-11-19 21:00:00,2024-11-21 21:00:00,2024-11-26 21:00:00
65,9,2,Garbage truck has not visited our area this week.,Rejected,High,2024-06-29 01:00:00,2024-07-03 01:00:00,2024-07-08 01:00:00
66,35,2,Drain in front of house is blocked causing overflow.,Escalated,Normal,2024-05-29 02:00:00,2024-06-02 02:00:00,
67,55,5,No power supply for the last 3 days in our locality.,Open,Normal,2024-01-31 16:00:00,2024-02-10 16:00:00,
68,9,2,Garbage truck has not visited our area this week.,Open,Normal,2024-05-07 05:00:00,2024-05-13 05:00:00,
69,32,2,Water meter is damaged and showing wrong reading.,Resolved,Critical,2024-07-31 20:00:00,2024-08-07 20:00:00,2024-08-08 20:00:00
70,41,1,Subsidy not reflected in account despite application.,Resolved,Normal,2024-12-21 19:00:00,2024-12-28 19:00:00,2025-01-01 19:00:00
71,21,5,Electricity bill is too high compared to actual usage.,Rejected,Critical,2024-02-18 07:00:00,2024-02-25 07:00:00,2024-03-02 07:00:00
72,43,3,No power supply for the last 3 days in our locality.,Resolved,Normal,2024-04-21 21:00:00,2024-04-24 21:00:00,2024-04-28 21:00:00
73,18,3,Gas pressure is very low and cooking is affected.,Under Review,High,2024-03-08 02:00:00,2024-03-15 02:00:00,
74,51,3,Electricity bill is too high compared to actual usage.,Open,Critical,2024-08-23 08:00:00,2024-08-24 08:00:00,
75,60,2,Meter reading officer gave incorrect reading.,Under Review,Normal,2024-04-14 06:00:00,2024-04-16 06:00:00,
76,57,3,Water supply is contaminated and smells bad.,Rejected,Normal,2024-02-18 04:00:00,2024-02-23 04:00:00,2024-02-26 04:00:00
77,6,3,Water supply is contaminated and smells bad.,Open,Critical,2024-06-06 07:00:00,2024-06-09 07:00:00,
78,28,1,No power supply for the last 3 days in our locality.,Open,Normal,2024-02-09 12:00:00,2024-02-18 12:00:00,
79,15,5,Meter reading officer gave incorrect reading.,Open,Critical,2024-06-24 11:00:00,2024-06-30 11:00:00,
80,45,2,Meter reading officer gave incorrect reading.,Open,Normal,2024-02-16 07:00:00,2024-02-17 07:00:00,
81,7,3,Drain in front of house is blocked causing overflow.,Rejected,Normal,2024-07-14 12:00:00,2024-07-24 12:00:00,2024-07-30 12:00:00
82,10,1,Street light near our house is not working.,Resolved,High,2024-11-28 13:00:00,2024-12-05 13:00:00,2024-12-08 13:00:00
83,47,2,Water supply is contaminated and smells bad.,Escalated,High,2024-12-17 22:00:00,2024-12-20 22:00:00,
84,6,1,Water supply is contaminated and smells bad.,Resolved,High,2025-01-08 20:00:00,2025-01-13 20:00:00,2025-01-17 20:00:00
85,21,2,Garbage truck has not visited our area this week.,Open,Low,2024-05-08 01:00:00,2024-05-17 01:00:00,
86,39,5,Gas pressure is very low and cooking is affected.,Resolved,Critical,2024-01-15 05:00:00,2024-01-19 05:00:00,2024-01-21 05:00:00
87,34,5,Street light near our house is not working.,Open,Normal,2024-06-01 04:00:00,2024-06-01 04:00:00,
88,51,2,Meter reading officer gave incorrect reading.,Under Review,Normal,2024-09-13 04:00:00,2024-09-22 04:00:00,
89,5,5,Electricity bill is too high compared to actual usage.,Escalated,Normal,2024-03-08 20:00:00,2024-03-17 20:00:00,
90,27,3,Street light near our house is not working.,Resolved,Normal,2025-01-29 10:00:00,2025-01-29 10:00:00,2025-02-03 10:00:00
